index,x,y,z,confidence
0,0.321680,0.471505,-0.059043,1.00
1,0.321680,0.471505,-0.059043,1.00
2,0.321680,0.454753,0.136920,1.00
3,0.321680,0.496778,-0.103265,1.00
4,0.321680,0.538802,-0.343450,1.00
5,0.321680,0.558075,-0.315772,1.00
6,0.321680,0.577348,-0.288095,1.00
7,0.321680,0.686962,-0.172826,1.00
8,0.338719,0.857261,-0.057557,1.00
9,0.355758,0.899291,-0.257284,1.00
10,0.211647,0.874213,-0.046284,1.00
11,0.067535,0.941009,0.199562,1.00
12,-0.076576,0.933848,0.105974,1.00
13,-0.220688,1.025102,0.299294,1.00
14,-0.220727,1.035268,0.444578,1.00
15,-0.188905,1.131541,0.044195,1.00
16,-0.157083,1.224853,0.290797,1.00
17,-0.125262,1.245973,0.307625,1.00
18,-0.093440,1.283565,0.189205,1.00
19,-0.114832,1.294627,0.291647,1.00
20,-0.188995,1.232714,0.290148,1.00
21,-0.181004,1.205084,0.312258,1.00
22,-0.252232,1.200842,0.463693,1.00
23,-0.134732,1.140325,0.319786,1.00
24,-0.017233,1.079808,0.175878,1.00
25,0.104114,1.069033,0.177484,1.00
26,0.295374,1.027824,-0.046519,1.00
27,0.486634,0.986615,-0.270523,1.00
28,0.348367,0.962392,-0.295625,1.00
29,0.555885,0.867895,-0.244117,1.00
30,0.285395,0.818546,-0.192609,1.00
31,0.066646,0.888879,-0.141101,1.00
32,-0.152102,0.959211,-0.089593,1.00
33,-0.100400,0.976930,-0.038085,1.00
34,-0.048697,0.994649,0.013423,1.00
35,-0.073084,0.617499,0.064931,1.00
36,-0.162620,0.564814,0.116439,1.00
37,-0.252156,0.512130,0.167947,1.00
38,-0.130798,0.437746,0.219455,1.00
39,-0.283153,0.361834,0.270964,1.00
40,-0.560894,0.232896,0.397967,1.00
41,-0.508691,0.341135,0.524970,1.00
42,-0.465238,0.321230,0.651973,1.00
43,-0.207821,0.398968,0.596225,1.00
44,-0.410974,0.379501,0.630478,1.00
45,-0.614126,0.360034,0.664730,1.00
46,-0.535321,0.379180,0.698983,1.00
47,-0.610878,0.356920,0.733235,1.00
48,-0.686435,0.350104,0.905773,1.00
49,-0.621354,0.367163,0.921909,1.00
50,-0.656661,0.272419,0.771912,1.00
51,-0.517995,0.195759,0.621914,1.00
52,-0.379328,0.221241,0.496135,1.00
53,-0.240662,0.191175,0.487992,1.00
54,-0.101995,0.188866,0.305517,1.00
55,-0.045565,0.207929,0.302477,1.00
56,0.037210,0.185958,0.157266,1.00
